ID,year,Award_Title,Award_Amount,Award_Type,AwardEffectiveDate,Directorate (abbr),Directorate,Division (abbr),Division,Institution_name,Institution_Name_New,Institution_address,Institution_city,Institution_zip,Institution_state,Institution_congress_dist,Educational_inst,sbir,Institution_type
1113189,2011,SBIR Phase I:  Efficient Separation of Hydrogen From Reformate,149923,Standard Grant,07/01/2011,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Sustainable Innovations, Inc.","Sustainable Innovations, Inc.",111 ROBERTS ST STE J,EAST HARTFORD,061083653,Connecticut,01,0,1,Business
1113495,2011,SBIR Phase I:  High Efficiency Electrochemical Compressor Cell to Enable Cost Effective Small-Scale Hydrogen Fuel Production and Recycling,150000,Standard Grant,07/01/2011,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Proton Energy Systems, Inc.","Proton Energy Systems, Inc.",10 TECHNOLOGY DR,WALLINGFORD,064921955,Connecticut,03,0,1,Business
1142976,2011,SBIR Phase I:  Design of a Novel Unitized Regenerative Fuel Cell System Using Advanced Materials for Efficiency Optimization,149934,Standard Grant,01/01/2012,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Proton Energy Systems, Inc.","Proton Energy Systems, Inc.",10 TECHNOLOGY DR,WALLINGFORD,064921955,Connecticut,03,0,1,Business
1152652,2011,SBIR Phase II:  Compact Ultra High Resolution 360 Degree Imaging System,487554,Standard Grant,04/15/2012,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,RemoteReality Corporation,RemoteReality Corporation,RemoteReality Corporation,Putnam,062601542,Connecticut,02,0,1,Business
1214986,2012,SBIR Phase I:  A Rapid Foodborne Pathogen Analyzer,144990,Standard Grant,07/01/2012,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"REAL-TIME ANALYZERS, INCORPORATED","REAL-TIME ANALYZERS, INCORPORATED",362 INDUSTRIAL PARK RD STE 8,MIDDLETOWN,064571548,Connecticut,03,0,1,Business
1229945,2012,SBIR Phase II:  Efficient Separation of Hydrogen From Reformate,439346,Standard Grant,09/15/2012,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Sustainable Innovations, Inc.","Sustainable Innovations, Inc.",111 ROBERTS ST STE J,EAST HARTFORD,061083653,Connecticut,01,0,1,Business
1230148,2012,"SBIR Phase II:  Self Calibrating, Wireless, Needle Implantable Sensor for Continuous Glucose Monitoring",486406,Standard Grant,09/01/2012,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Biorasis Inc.,Biorasis Inc.,23 Fellen Road,Storrs Mansfield,062690158,Connecticut,02,0,1,Business
1230199,2012,SBIR Phase II:  High Efficiency Electrochemical Compressor Cell to Enable Cost Effective Small-Scale Hydrogen Fuel Production and Recycling,499960,Standard Grant,08/15/2012,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Proton Energy Systems, Inc.","Proton Energy Systems, Inc.",10 TECHNOLOGY DR,WALLINGFORD,064921955,Connecticut,03,0,1,Business
1248341,2012,SBIR Phase I:  Employing the Read Together While Apart Technology to Create Engaging and Educationally Effective Interactive Children's eBooks,150000,Standard Grant,01/01/2013,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Ruckus Media Group Inc,Ruckus Media Group Inc,372 Danbury Road,Wilton,068972523,Connecticut,04,0,1,Business
1248614,2012,SBIR Phase I:  Dynamic Thermal Interface Material for Cooling Medium and High Power Electronics,149886,Standard Grant,01/01/2013,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Anchor Science LLC,Anchor Science LLC,37 VICTORIA DR,BRANFORD,064053127,Connecticut,03,0,1,Business
1248802,2012,SBIR Phase I:  Quantum Mechanical Predictive Tools for Identification and Redesign of Skin Sensitizing Chemicals,149650,Standard Grant,01/01/2013,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Sustainability A to Z, LLC","Sustainability A to Z, LLC",25 DEN HOLLOW RD,GUILFORD,064372276,Connecticut,03,0,1,Business
1315316,2013,SBIR Phase I:  Stereoscopic Plug-and-Play Dermatoscope and Web Interface The 3Derm System,150000,Standard Grant,07/01/2013,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"3Derm Systems, LLC","3Derm Systems, LLC",10 Hillhouse Avenue,New Haven,065116810,Connecticut,03,0,1,Business
1315589,2013,SBIR Phase I:  Minimally Invasive Device for Harvesting Autologous Bone Graft,150000,Standard Grant,07/01/2013,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Avitus Orthopaedics, Inc.","Avitus Orthopaedics, Inc.",6 ARMSTRONG RD,SHELTON,064844722,Connecticut,04,0,1,Business
1315663,2013,SBIR Phase I:  In-Situ Sketching: Drawing on the Real World,150000,Standard Grant,07/01/2013,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Mental Canvas, LLC","Mental Canvas, LLC",61 Hartford Avenue,Madison,064432743,Connecticut,02,0,1,Business
1330886,2013,SBIR Phase II:  A Rapid Foodborne Pathogen Analyzer,681521,Standard Grant,10/01/2013,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"REAL-TIME ANALYZERS, INCORPORATED","REAL-TIME ANALYZERS, INCORPORATED",362 INDUSTRIAL PARK RD STE 8,MIDDLETOWN,064571548,Connecticut,03,0,1,Business
1416359,2014,SBIR Phase I:  Bandages for Wound Healing,150000,Standard Grant,07/01/2014,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Bionic Concepts,Bionic Concepts,"52 Robin Rd, B2",West Hartford,061191254,Connecticut,01,0,1,Business
1416874,2014,STTR Phase I:  Hydrogen Bromine Electrolysis for Highly Efficient Hydrogen-Based Energy Storage and High Value Chemical Applications,225000,Standard Grant,07/01/2014,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Proton Energy Systems, Inc.","Proton Energy Systems, Inc.",10 TECHNOLOGY DR,WALLINGFORD,064921955,Connecticut,03,0,1,Business
1430763,2014,SBIR Phase II:  Development of a Minimally Invasive Device for Harvesting Autologous Bone Graft,750000,Standard Grant,10/01/2014,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Avitus Orthopaedics, Inc.","Avitus Orthopaedics, Inc.",6 ARMSTRONG RD,SHELTON,064844722,Connecticut,04,0,1,Business
1431013,2014,SBIR Phase II:  Reimagining Sketch in the Digital Age,750000,Standard Grant,10/01/2014,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Mental Canvas, LLC","Mental Canvas, LLC",61 Hartford Avenue,Madison,064432743,Connecticut,02,0,1,Business
1448090,2014,SBIR Phase I:  Economical Fabrication of Bulk Metallic Glass Sheets through Roll-Stretching,149886,Standard Grant,01/01/2015,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Supercool Metals LLC,Supercool Metals LLC,21 BUSINESS PARK DR UNIT 5B,BRANFORD,064052935,Connecticut,03,0,1,Business
1448113,2014,SBIR Phase I:  Novel Form Winding Insulation System for Motor and Generator Size Reduction and Associated Method of Manufacture,150000,Standard Grant,01/01/2015,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,LCDrives Corp.,LCDrives Corp.,88 E. Hyerdale Dr.,Goshen,067561820,Connecticut,05,0,1,Business
1448244,2014,SBIR Phase I:  Development of a Protein-Based Retinal Implant,149949,Standard Grant,01/01/2015,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"LambdaVision, Inc.","LambdaVision, Inc.","400 FARMINGTON AVE, MC6409",FARMINGTON,060321913,Connecticut,05,0,1,Business
1448305,2014,"SBIR Phase I:  Novel Capacitor-less Dynamic Random Access Memory Technology with Energy Efficiency, Manufacturability, and Scalability",150000,Standard Grant,01/01/2015,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Alacrity Semiconductors Inc,Alacrity Semiconductors Inc,4 Pin Oak Dr,Branford,064056506,Connecticut,03,0,1,Business
1519745,2015,SBIR Phase I:  Compact High efficiency Multilevel Motor Drive,150000,Standard Grant,07/01/2015,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,LCDrives Corp.,LCDrives Corp.,88 E. Hyerdale Dr.,Goshen,067561820,Connecticut,05,0,1,Business
1519784,2015,SBIR Phase I:  Design and validation of a novel skin-contacting electrode to provide pelvic floor toning for treatment of female stress urinary incontinence,150000,Standard Grant,07/01/2015,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Elidah, Inc.","Elidah, Inc.",810 MAIN STREET STE C,MONROE,064682809,Connecticut,04,0,1,Business
1548900,2015,SBIR Phase I:  A geospatial technology innovation for advanced data analytics of regulatory permitted and surety bonded industrial mining,149999,Standard Grant,01/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,SIAS Global LLC,SIAS Global LLC,90 William Street,New Haven,065114939,Connecticut,03,0,1,Business
1549522,2015,STTR Phase I:  Independent Science Learning through Serious Games with Expert Avatars and Complementary Stories,224980,Standard Grant,01/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,THEBEAMER LLC,THEBEAMER LLC,87 Church St,East Hartford,061083720,Connecticut,01,0,1,Business
1555870,2015,SBIR Phase II:  Economical Fabrication of Bulk Metallic Glass Sheets through Roll-Stretching,689362,Standard Grant,04/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Supercool Metals LLC,Supercool Metals LLC,21 BUSINESS PARK DR UNIT 5B,BRANFORD,064052935,Connecticut,03,0,1,Business
1555871,2015,SBIR Phase II:  Hydrogen Bromine Electrolysis for Highly Efficient Hydrogen-Based Energy Storage and High Value Chemical Applications,691209,Standard Grant,04/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Proton Energy Systems, Inc.","Proton Energy Systems, Inc.",10 TECHNOLOGY DR,WALLINGFORD,064921955,Connecticut,03,0,1,Business
1555875,2015,"SBIR Phase II:  Novel Capacitor-less Dynamic Random Access Memory Technology with Energy Efficiency, Manufacturability, and Scalability",744115,Standard Grant,03/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Alacrity Semiconductors Inc,Alacrity Semiconductors Inc,4 Pin Oak Dr,Branford,064056506,Connecticut,03,0,1,Business
1621729,2016,"SBIR Phase I:  Portable, Miniaturized Fourier Transform Infrared Spectrometer featuring Autonomous In Situ Alignment",224844,Standard Grant,07/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Cam2Technologies, LLC","Cam2Technologies, LLC",41 EAGLE RD,DANBURY,068108802,Connecticut,05,0,1,Business
1630203,2016,SBIR Phase II:  Novel Treatment for Stress Urinary Incontinence,750000,Standard Grant,09/15/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"Elidah, Inc.","Elidah, Inc.",810 MAIN STREET STE C,MONROE,064682809,Connecticut,04,0,1,Business
1632465,2016,SBIR Phase II:  Design and Optimization of a Biocompatible Protein-Based Retinal Implant for the Treatment of End-Stage Retinal Degeneration,742188,Standard Grant,09/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,"LambdaVision, Inc.","LambdaVision, Inc.","400 FARMINGTON AVE, MC6409",FARMINGTON,060321913,Connecticut,05,0,1,Business
1647693,2016,SBIR Phase I:  A Radical New Alternative to Semiconductor Photodiodes,225000,Standard Grant,12/15/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,nVizix LLC,nVizix LLC,5 River Oaks DR,Stamford,069021255,Connecticut,04,0,1,Business
1648225,2016,"SBIR Phase I:  Novel, Robust Process for Thin, Dense Ceramic Coatings",225000,Standard Grant,12/01/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Solution Spray Technologies LLC,Solution Spray Technologies LLC,104 TIMBER DR,STORRS MANSFIELD,062681227,Connecticut,02,0,1,Business
1648819,2016,STTR Phase I:  Re-engineered skin bacteria as a novel topical drug delivery system,225000,Standard Grant,01/15/2017,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Azitra Inc.,Azitra Inc.,21 BUSINESS PARK DR STE A,BRANFORD,064052935,Connecticut,03,0,1,Business
1648889,2016,STTR Phase I:  Using mining waste as a feedstock for the production of chemicals from CO2 with genetically engineered Acidithiobacillus ferrooxidans,225000,Standard Grant,12/15/2016,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,Ironic Chemicals LLC,Ironic Chemicals LLC,252 Old Oaks Rd,Fairfield,068251932,Connecticut,04,0,1,Business
