Institution_Name,zip_code,Award_Amount_2011,Award_Amount_2012,Award_Amount_2013,Award_Amount_2014,Award_Amount_2015,Award_Amount_2016,Award_Amount_2017,Award_Amount_2018,Award_Amount_2019,Award_Amount_2020,Award_Amount_2021,Award_Amount_2022,jobs_2011,jobs_2012,jobs_2013,jobs_2014,jobs_2015,jobs_2016,jobs_2017,jobs_2018,jobs_2019,jobs_2020,jobs_2021,jobs_2022
Avon,060012425, -   , -   , -   , -   , -   , -   ," 225,000 ", -   , -   , -   ," 256,000 ", -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , 3 , -   
Bethel,068012612, -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
BRANFORD,064052935, -   ," 149,886 ", -   ," 299,886 "," 1,433,477 "," 225,000 ", -   ," 719,727 ", -   , -   , -   , -   , -   , 1 , -   , 3 , 13 , 3 , -   , 6 , -   , -   , -   , -   
Coventry,062381936, -   ," 382,896 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
DANBURY,068108802, -   , -   , -   , -   , -   ," 224,844 "," 225,000 ", -   ," 727,836 "," 256,000 ", -   , -   , -   , -   , -   , -   , -   , 3 , 3 , -   , 7 , 3 , -   , -   
DARIEN,068203829, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 256,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   
DURHAM,064221507, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 255,881 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   
EAST HARTFORD,061083653," 149,923 "," 439,346 ", -   , -   ," 224,980 ", -   ," 750,000 ", -   , -   , -   , -   , -   , 2 , 4 , -   , -   , 3 , -   , 6 , -   , -   , -   , -   , -   
Fairfield,068251932, -   , -   , -   , -   , -   ," 225,000 "," 225,000 ", -   , -   , -   ," 256,000 ", -   , -   , -   , -   , -   , -   , 3 , 3 , -   , -   , -   , 3 , -   
FARMINGTON,060321913, -   , -   , -   ," 149,949 ", -   ," 742,188 "," 450,000 ", -   ," 433,880 "," 480,846 "," 512,000 "," 255,995 ", -   , -   , -   , 1 , -   , 6 , 3 , -   , 4 , 4 , 4 , 3 
Goshen,067561820, -   , -   , -   ," 150,000 "," 150,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   
