Institution_Name,zip_code,Award_Amount_2011,Award_Amount_2012,Award_Amount_2013,Award_Amount_2014,Award_Amount_2015,Award_Amount_2016,Award_Amount_2017,Award_Amount_2018,Award_Amount_2019,Award_Amount_2020,Award_Amount_2021,Award_Amount_2022,jobs_2011,jobs_2012,jobs_2013,jobs_2014,jobs_2015,jobs_2016,jobs_2017,jobs_2018,jobs_2019,jobs_2020,jobs_2021,jobs_2022
Albertus Magnus College,065111224, -   , -   , -   , -   ," 649,383 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , -   
Capital Community College,061031234, -   , -   , -   , -   , -   , -   , -   ," 183,654 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   
Central Connecticut State University,060502439, -   ," 49,980 ", -   ," 76,941 ", -   ," 161,351 "," 5,115,748 ", -   , -   ," 1,089,237 ", -   , -   , -   , -   , -   , -   , -   , 2 , 57 , -   , -   , 10 , -   , -   
Connecticut College,063204125," 816,063 "," 395,064 ", -   ," 599,386 ", -   , -   ," 226,763 ", -   ," 286,615 ", -   ," 206,276 ", -   , 10 , 5 , -   , 6 , -   , -   , 3 , -   , 3 , -   , 3 , -   
Connecticut's Community-Tech Colleges' College of Technology,061050448, -   ," 2,949,944 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 37 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Eastern Connecticut State University,062262211, -   , -   , -   , -   , -   , -   ," 537,229 ", -   , -   ," 649,957 ", -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , 7 , -   , -   
Fairfield University,068245171," 130,000 ", -   ," 991,866 ", -   , -   ," 510,156 ", -   ," 700,786 "," 175,350 "," 214,088 ", -   , -   , 2 , -   , 12 , -   , -   , 6 , -   , 7 , 1 , 3 , -   , -   
"Haskins Laboratories, Inc. ",065116610,,,,,,,,,,,,, 4 , -   , 8 , 1 , 2 , -   , -   , 2 , -   , 3 , 4 , -   
Housatonic Community College,066044704, -   , -   , -   ," 200,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   
Naugatuck Valley Community College,067083011, -   , -   , -   , -   , -   , -   , -   ," 649,323 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   
"NEW UNIVERSITY OF BRIDGEPORT, INC., THE",061181837, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 199,998 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   
Northwestern Connecticut Community College,060981706, -   , -   , -   ," 199,960 ", -   , -   , -   ," 599,877 ", -   , -   ," 750,000 ", -   , -   , -   , -   , 2 , -   , -   , -   , 6 , -   , -   , 7 , -   
Norwalk Community College,068541634, -   , -   , -   , -   , -   , -   , -   ," 224,999 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   
Quinnipiac University,065181908, -   , -   , -   ," 358,558 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   
Sacred Heart University,068251000, -   , -   ," 111,253 ", -   ," 1,199,108 ", -   ," 649,544 "," 1,199,945 "," 252,060 "," 1,698,283 "," 1,749,077 ", -   , -   , -   , 1 , -   , 15 , -   , 7 , 13 , 3 , 15 , 16 , -   
Southern Connecticut State University,065151330, -   ," 49,970 ", -   ," 300,000 "," 335,326 "," 486,208 ", -   , -   ," 618,741 "," 1,448,743 ", -   , -   , -   , -   , -   , 4 , 4 , 6 , -   , -   , 6 , 14 , -   , -   
Trinity College,061063100," 406,164 "," 998,374 "," 594,649 "," 234,956 "," 340,657 "," 212,253 "," 901,261 "," 445,344 "," 125,000 "," 201,100 "," 763,354 ", -   , 6 , 13 , 7 , 3 , 4 , 2 , 10 , 5 , -   , 3 , 7 , -   
